id,week,arrest,finance,age,race,work,married,parole,prior,educ
1,20,1,no,27,black,no,not married,yes,3,3
2,17,1,no,18,black,no,not married,yes,8,4
3,25,1,no,19,other,yes,not married,yes,13,3
4,52,0,yes,23,black,yes,married,yes,1,5
5,52,0,no,19,other,yes,not married,yes,3,3
6,52,0,no,24,black,yes,not married,no,2,4
7,23,1,no,25,black,yes,married,yes,0,4
8,52,0,yes,21,black,yes,not married,yes,4,3
9,52,0,no,22,black,no,not married,no,6,3
10,52,0,no,20,black,yes,not married,no,0,5
11,52,0,yes,26,black,no,not married,yes,3,3
12,52,0,no,40,black,yes,not married,no,2,5
13,37,1,no,17,black,yes,not married,yes,5,3
14,52,0,no,37,black,yes,not married,no,2,3
15,25,1,no,20,black,no,not married,yes,3,4
16,46,1,yes,22,black,yes,not married,yes,2,3
17,28,1,no,19,black,no,not married,no,7,3
18,52,0,no,20,black,no,not married,no,2,3
19,52,0,no,25,black,no,not married,yes,12,3
20,52,0,no,24,other,yes,not married,yes,1,3
21,52,0,no,23,black,no,not married,yes,4,3
22,52,0,yes,44,black,yes,married,yes,0,3
23,24,1,yes,29,black,yes,not married,yes,2,4
24,52,0,yes,28,other,yes,not married,yes,1,3
25,52,0,yes,21,black,yes,not married,no,0,4
26,52,0,yes,19,black,yes,not married,yes,2,3
27,52,0,no,33,black,yes,not married,yes,1,4
28,52,0,no,19,black,no,not married,no,2,3
29,52,0,yes,19,black,no,not married,yes,3,3
30,52,0,yes,23,black,yes,married,yes,9,3
31,52,0,yes,23,black,no,not married,yes,3,5
32,52,0,yes,19,black,no,not married,yes,1,3
33,52,0,yes,42,black,yes,not married,no,0,5
34,52,0,no,23,black,yes,married,no,2,4
35,52,0,no,24,black,yes,not married,no,3,4
36,50,1,yes,20,black,yes,not married,yes,2,3
37,52,0,no,22,black,yes,not married,yes,5,3
38,52,0,no,27,black,yes,not married,no,2,3
39,52,0,yes,19,black,no,not married,no,4,3
40,52,0,no,28,black,yes,not married,yes,3,3
41,52,0,yes,33,black,yes,married,no,9,3
42,52,0,no,24,black,yes,not married,yes,1,4
43,10,1,no,21,black,no,not married,yes,14,3
44,52,0,no,22,black,no,not married,yes,2,3
45,52,0,yes,19,black,no,not married,yes,2,4
46,52,0,yes,22,black,no,not married,no,2,4
47,52,0,yes,22,black,no,not married,no,15,3
48,20,1,yes,23,black,yes,not married,yes,5,3
49,52,0,no,32,black,yes,married,yes,2,2
50,52,0,yes,27,black,yes,not married,yes,0,4
51,52,0,yes,36,black,yes,not married,no,0,3
52,52,0,yes,22,black,yes,not married,yes,1,4
53,52,0,yes,32,black,yes,not married,yes,1,3
54,50,1,yes,19,black,yes,not married,no,10,3
55,52,0,no,28,black,yes,married,yes,1,5
56,52,0,no,32,other,yes,not married,no,3,2
57,52,0,no,33,black,yes,married,yes,1,4
58,52,0,no,26,black,no,not married,yes,1,2
59,52,0,yes,20,black,yes,not married,yes,0,3
60,52,0,yes,42,black,yes,not married,no,9,4
61,6,1,no,19,black,no,not married,no,6,3
62,52,0,no,22,black,yes,not married,no,2,4
63,52,0,no,22,black,no,not married,yes,5,4
64,52,0,no,36,black,no,not married,no,11,3
65,52,1,no,23,black,yes,not married,no,2,4
66,52,0,yes,27,black,yes,not married,yes,3,3
67,52,0,yes,21,black,no,not married,yes,1,3
68,52,0,yes,22,black,yes,not married,yes,2,3
69,49,1,no,35,black,yes,not married,yes,3,2
70,52,0,no,21,black,yes,not married,yes,4,3
71,52,0,yes,25,black,yes,not married,yes,5,3
72,52,0,no,18,black,no,not married,yes,0,3
73,52,0,yes,26,black,yes,not married,yes,2,4
74,52,0,no,30,black,yes,not married,no,4,2
75,52,0,no,20,black,no,not married,yes,2,4
76,52,0,yes,43,black,yes,not married,yes,1,4
77,43,1,no,23,black,yes,married,yes,4,3
78,52,0,no,42,other,yes,not married,no,2,6
79,52,0,no,21,other,no,not married,no,2,3
80,5,1,no,19,black,no,not married,no,3,3
81,27,1,no,29,black,no,not married,no,4,3
82,52,0,no,30,black,yes,not married,yes,3,2
83,52,0,yes,21,other,yes,married,yes,10,3
84,52,0,no,20,black,no,not married,yes,7,3
85,22,1,yes,19,black,no,not married,yes,10,3
86,52,0,yes,22,black,yes,not married,yes,1,5
87,52,0,no,25,black,no,not married,yes,3,3
88,18,1,no,22,black,no,not married,no,4,4
89,52,0,yes,22,black,yes,not married,yes,4,3
90,52,0,yes,24,black,no,not married,yes,2,4
91,52,0,no,39,black,yes,married,yes,4,3
92,52,0,no,21,black,yes,not married,yes,1,3
93,52,0,yes,20,black,yes,not married,yes,2,3
94,52,0,yes,24,black,no,not married,no,1,3
95,52,0,no,25,black,yes,not married,yes,2,6
96,24,1,yes,21,black,yes,not married,no,4,3
97,52,0,yes,20,black,no,not married,yes,1,3
98,52,0,yes,19,black,no,not married,yes,3,4
99,52,0,yes,24,black,no,not married,no,2,4
100,52,0,yes,24,black,yes,not married,yes,1,4
101,2,1,no,44,black,yes,not married,yes,2,5
102,26,1,no,32,black,yes,not married,no,2,4
103,52,0,no,23,black,yes,not married,no,3,3
104,49,1,yes,19,black,no,not married,yes,1,4
105,52,0,no,20,black,no,not married,yes,1,3
106,21,1,no,27,black,yes,not married,yes,0,3
107,48,1,no,19,black,no,not married,no,6,3
108,52,0,yes,21,black,yes,not married,no,1,3
109,52,0,no,20,black,no,not married,yes,1,4
110,52,0,no,25,black,no,not married,yes,3,2
111,52,0,no,20,black,no,not married,yes,6,3
112,52,0,yes,23,black,yes,not married,yes,3,4
113,52,0,no,20,black,no,not married,no,2,3
114,52,0,yes,30,black,yes,not married,no,1,4
115,52,0,no,25,black,yes,married,yes,0,4
116,52,0,no,22,black,yes,not married,yes,1,3
117,52,0,no,24,black,yes,not married,yes,3,3
118,52,0,yes,18,black,no,not married,no,4,3
119,8,1,yes,40,black,yes,not married,yes,1,5
120,52,0,no,22,black,no,not married,yes,1,5
121,52,0,yes,23,black,no,not married,yes,6,3
122,49,1,no,21,black,yes,not married,yes,1,3
123,52,0,yes,24,other,yes,married,yes,2,3
124,52,0,yes,24,black,no,not married,yes,14,3
125,52,0,no,38,black,yes,not married,yes,2,3
126,52,0,no,26,other,yes,not married,no,3,3
127,52,0,yes,29,black,yes,not married,no,1,3
128,52,0,no,21,black,no,not married,yes,8,3
129,52,0,yes,21,black,yes,married,yes,2,4
130,52,0,no,22,other,no,not married,yes,4,3
131,8,1,no,23,black,no,not married,yes,5,3
132,52,0,no,27,black,yes,not married,no,2,4
133,52,0,yes,18,black,no,not married,yes,2,3
134,13,1,no,23,black,no,not married,no,5,3
135,52,0,yes,24,black,no,not married,yes,2,3
136,52,0,yes,21,black,no,not married,no,3,4
137,52,0,yes,20,black,no,not married,yes,4,2
138,52,0,yes,27,black,yes,not married,no,4,3
139,8,1,yes,20,black,no,not married,yes,11,4
140,52,0,yes,29,black,yes,married,yes,5,4
141,33,1,no,19,black,no,not married,no,10,4
142,52,0,no,20,black,no,not married,no,8,3
143,52,0,yes,18,black,no,not married,yes,0,3
144,11,1,yes,19,black,no,not married,yes,2,3
