id,TimeSincePhD,NPubs,Sex,Citations,Salary
1,3,18,1,50,51876
2,6,3,1,26,54511
3,3,2,1,50,53425
4,8,17,0,34,61683
5,9,11,1,41,52926
6,6,6,0,37,47034
7,16,38,0,48,66432
8,10,48,0,56,61100
9,2,9,0,19,41934
10,5,22,0,29,47454
11,5,30,1,28,49832
12,6,21,0,31,47047
13,7,10,1,25,39115
14,11,27,0,40,59677
15,18,37,0,61,61458
16,6,8,0,32,54528
17,9,13,1,36,60327
18,7,6,0,69,56600
19,7,12,1,47,52542
20,3,29,1,29,50455
21,7,29,1,35,51647
22,5,7,0,35,62895
23,7,6,0,18,53740
24,13,69,0,90,75822
25,5,11,0,60,56596
26,8,9,1,30,55682
27,8,20,1,27,62091
28,7,41,1,35,42162
29,2,3,1,14,52646
30,13,27,0,56,74199
31,5,14,0,50,50729
32,3,23,0,25,70011
33,1,1,0,35,37939
34,3,7,0,1,39652
35,9,19,0,69,68987
36,3,11,0,69,55579
37,9,31,0,27,54671
38,3,9,0,50,57704
39,4,12,1,32,44045
40,10,32,0,33,51122
41,1,26,0,45,47082
42,11,12,0,54,60009
43,5,9,0,47,58632
44,1,6,0,29,38340
45,21,39,0,69,71219
46,7,16,1,47,53712
47,5,12,1,43,54782
48,16,50,0,55,83503
49,5,18,0,33,47212
50,4,16,1,28,52840
51,5,5,0,42,53650
52,11,20,0,24,50931
53,16,50,1,31,66784
54,3,6,1,27,49751
55,4,19,1,83,74343
56,4,11,1,49,57710
57,5,13,0,14,52676
58,6,3,1,36,41195
59,4,8,1,34,45662
60,8,11,1,70,47606
61,3,25,1,27,44301
62,4,4,1,28,58582
